feature,importance_gain,importance_split
funding_rate_8h,12760.657995700836,533
ema_fast_slow,12715.846675872803,204
ema_slope_4h,12177.521164417267,380
range_center_distance_atr_1h_48,10481.735449790955,226
zscore_vs_vwap_4h,10357.853782176971,346
adx_4h,9310.978266239166,377
atr_ratio_1h,8099.497755527496,336
rsi_1h,7912.567880153656,157
realized_vol_4h_returns_20,6651.6855273246765,348
return_4h_14,4515.090987205505,222
market_breadth_ema_fast_slow_1h,3582.3893718719482,145
price_position_4h,3371.994085788727,171
volatility_regime_change_1h,2894.9003438949585,155
distance_to_support_1h,1762.8000903129578,80
market_breadth_pos_return_4h_3,1524.4925479888916,86
price_position_1h,1259.786831855774,56
premium_index_change_24h,900.1534719467163,63
cross_sectional_rank_ema_fast_slow_1h,811.2331781387329,51
distance_to_resistance_1h,709.6575684547424,46
flat_efficiency_1h_24,526.0615630149841,33
mcc_sign_agreement_btc_24h,0.0,0
