feature,fold_1_gain,fold_1_split,fold_2_gain,fold_2_split,fold_3_gain,fold_3_split,fold_4_gain,fold_4_split,fold_5_gain,fold_5_split,fold_6_gain,fold_6_split,fold_7_gain,fold_7_split,fold_8_gain,fold_8_split,fold_9_gain,fold_9_split,fold_10_gain,fold_10_split,fold_11_gain,fold_11_split,fold_12_gain,fold_12_split,fold_13_gain,fold_13_split,fold_14_gain,fold_14_split,fold_15_gain,fold_15_split,fold_16_gain,fold_16_split,fold_17_gain,fold_17_split,fold_18_gain,fold_18_split,fold_19_gain,fold_19_split,fold_20_gain,fold_20_split,fold_21_gain,fold_21_split,fold_22_gain,fold_22_split,fold_23_gain,fold_23_split,fold_24_gain,fold_24_split,fold_25_gain,fold_25_split,fold_26_gain,fold_26_split,fold_27_gain,fold_27_split,fold_28_gain,fold_28_split,fold_29_gain,fold_29_split,fold_30_gain,fold_30_split,fold_31_gain,fold_31_split,fold_32_gain,fold_32_split,fold_33_gain,fold_33_split,fold_34_gain,fold_34_split,fold_35_gain,fold_35_split
adx_4h,8130.419903755188,393,3367.1322226524353,185,3525.4502326250076,178,5356.047846078873,230,3096.5072379112244,160,3685.4473583698273,183,7741.700190544128,335,10826.683392763138,488,10040.218313694,456,13283.598074138165,726,7117.9020030498505,307,7011.643884420395,312,4708.597229003906,209,5556.1536321640015,211,4151.416198730469,185,7859.878762722015,346,7261.936379432678,324,8933.607657194138,422,14427.713247060776,799,16178.66001713276,967,16519.856873631477,961,12980.184760451317,734,15845.091359138489,809,16689.160786807537,840,5463.963027954102,236,6366.480131149292,253,7730.450852394104,304,6776.552501678467,266,8539.687922477722,334,5002.717889785767,179,5168.858381271362,192,10135.345365524292,388,8054.96590423584,314,5430.510397911072,176,5930.192399978638,186
atr_ratio_1h,4859.175509124994,279,3155.0222783088684,184,1573.9144043922424,109,9782.019178390503,221,3256.60027384758,187,2759.0183264017105,142,7730.672529697418,300,8377.46335220337,366,9743.03041267395,377,14044.868122577667,614,10992.257913589478,303,11113.053538322449,311,8619.203495979309,266,9476.899070262909,295,8067.852376937866,243,12767.402455329895,410,11842.0452003479,415,13093.046919107437,502,16048.42913043499,799,18739.59720878303,888,18561.902932286263,879,17513.44773197174,762,18369.5060236454,738,20056.170157909393,772,15022.423222541809,379,15763.219495773315,373,16910.230703353882,408,17353.62501144409,408,20755.49659061432,492,16352.016900062561,342,16099.956427574158,328,20193.15406894684,518,18060.30790424347,444,13927.983887672424,308,11655.680066108704,257
cross_sectional_rank_ema_fast_slow_1h,1620.3519903421402,108,843.2034902572632,55,797.4500298500061,62,1171.926218032837,53,850.1476707458496,53,912.8392281532288,58,764.2874026298523,46,1273.671979546547,86,2078.9513630867004,115,2754.4040665626526,181,1255.4097356796265,72,1320.8715181350708,78,1121.1202793121338,57,575.1045508384705,34,950.8550243377686,48,1011.2372193336487,59,1031.425597190857,55,1162.0962224006653,68,1741.6592304706573,120,1921.9312226176262,141,2524.2714868187904,174,1651.302265882492,108,1850.3555665016174,126,2145.6950466632843,142,958.093897819519,44,1127.4817123413086,50,1143.6800270080566,56,968.7160024642944,46,850.540301322937,43,880.360200881958,41,670.1597023010254,32,992.9954681396484,51,1180.5185976028442,61,577.2239990234375,28,388.78869915008545,18
distance_to_resistance_1h,4176.557008266449,207,1825.8068516254425,95,2236.2783727049828,116,1894.1266779899597,73,2746.8507041931152,85,1784.6075809001923,81,1569.9979181289673,65,2554.5746064186096,143,1570.9201049804688,98,2869.805705308914,205,1605.123298406601,91,1594.4015493392944,86,869.2248849868774,49,1079.8008184432983,47,801.5954027175903,41,1862.6318383216858,97,1976.316945552826,93,2894.6728975772858,150,3536.8455181121826,245,3639.215870678425,263,3229.86175262928,234,2698.590659379959,174,2728.659290790558,171,2476.1359581947327,157,658.8761978149414,29,696.162205696106,28,787.34850025177,34,647.7428026199341,34,597.6554322242737,32,386.6386022567749,18,402.59759998321533,16,632.200517654419,31,659.0363988876343,32,442.94150161743164,20,369.8909034729004,16
distance_to_support_1h,2834.286890923977,152,3416.9893934726715,108,1511.391878604889,78,1694.8808588981628,88,2163.141637802124,83,2670.80641412735,93,1499.8065342903137,88,2265.3669004440308,135,2820.506888151169,153,4897.887216567993,275,3648.4430344104767,142,3296.3872270584106,137,3344.6133613586426,101,2547.55721282959,96,2318.809467315674,83,4432.732264518738,196,5087.796297311783,180,5744.920692205429,219,6663.7965708673,352,5840.732136785984,318,6331.857009075582,346,5384.781097829342,273,5876.878373175859,277,5599.844473838806,271,3530.3512086868286,100,3206.374451637268,107,3959.5974912643433,129,4150.590363502502,129,3995.898118019104,131,2486.043999671936,80,2696.9448986053467,81,3841.063102722168,142,3448.1968870162964,112,2098.814510345459,61,2036.8369007110596,57
ema_fast_slow,2489.458819627762,159,2333.7125067710876,128,1514.7023802548647,97,1942.4006814956665,85,1840.8546334505081,106,2171.798968553543,103,7370.855327129364,181,5507.208247661591,203,5101.399743080139,207,8542.972990751266,398,5615.035696029663,191,5729.366412609816,189,4622.3655042648315,140,8365.12348985672,166,4597.92662525177,120,8783.870409965515,198,9261.573167324066,195,9702.524053990841,240,13008.58164525032,375,11316.446721076965,332,14894.655061244965,331,10739.257144927979,258,18598.956547260284,294,17642.524553194642,289,16119.374976158142,136,18260.06469631195,158,17006.432045936584,159,17842.837926864624,162,20937.04297685623,163,18399.257577896118,142,20766.688331604004,148,23877.133076667786,221,24665.733993530273,199,20309.916395187378,137,21777.077054977417,120
ema_slope_4h,7396.450351595879,380,4506.635444283485,184,3753.624969482422,202,6500.373869895935,215,4253.4052184820175,174,3979.315887451172,156,6882.358952522278,288,9263.238894224167,414,11438.939508676529,484,16512.67636692524,812,10731.933112621307,358,10307.599780082703,345,7316.97248840332,244,6637.654593467712,229,6406.894967079163,218,8310.575345516205,351,11176.500907421112,424,13470.511808052659,540,20316.36673654616,968,15461.094870656729,836,14929.719381809235,792,13315.666439972818,658,12635.53166359663,638,13532.688323542476,651,5885.643361568451,213,6375.752708435059,209,7328.837706565857,234,7381.04233455658,239,10092.680019140244,315,6223.778078079224,185,8356.956997871399,225,12140.61787223816,390,11190.777953147888,331,9382.854701042175,219,9131.116993904114,200
flat_efficiency_1h_24,2052.715854614973,132,942.5004305839539,62,1180.7545382976532,81,601.5698294639587,39,966.323968410492,76,1368.8388123512268,80,603.9091982841492,45,938.520384311676,72,1318.2018065452576,91,1905.117850124836,160,876.8898391723633,61,716.8122689723969,48,609.1239795684814,40,1182.0464625358582,66,460.6793370246887,31,1376.6834812164307,77,1494.5172600746155,83,1550.0735001564026,91,2826.2470321059227,212,3547.7156852781773,272,4086.978141285479,297,3157.3281198740005,222,3978.2008908987045,256,4702.964866399765,297,2215.7772731781006,113,2525.9422035217285,118,2271.9392681121826,109,2440.0902070999146,116,2434.217155456543,125,1493.6230974197388,70,1702.2715849876404,81,2046.4244565963745,106,1674.6940031051636,85,755.7986011505127,36,669.2959985733032,28
funding_rate_8h,8075.367591738701,211,6145.974008984864,110,5090.722394943237,104,7198.913327693939,195,4590.929571628571,113,4479.447777271271,96,6967.787739276886,274,8517.954426288605,369,8549.918998718262,366,13558.85435295105,669,8230.239858150482,322,7736.466395378113,309,6238.528109073639,235,10649.854098320007,339,5171.653190612793,192,14774.353297710419,534,15746.585642337799,540,17890.105927705765,638,21171.700949013233,948,20916.94252681732,984,21749.909687042236,998,19198.188399262726,827,20486.85373568535,842,20274.243058919907,825,10497.6308426857,346,10333.075008869171,329,11075.439951896667,368,12986.015872955322,397,14550.823696374893,464,10181.945825576782,288,10839.20293045044,290,17145.87452030182,535,15301.932774543762,445,10182.942483901978,248,8668.979516983032,209
market_breadth_ema_fast_slow_1h,3025.328372478485,167,1451.2147257328033,91,1028.2588324546814,75,1682.9807119369507,77,948.7714304924011,59,1196.8413772583008,59,890.9650692939758,54,1386.2296800613403,89,1765.1207156181335,108,4197.516992211342,245,2560.057099342346,128,2524.810718536377,121,1553.9475226402283,77,10221.749462127686,180,1635.3363218307495,83,12988.195844650269,266,16002.648199558258,277,16481.596133232117,322,19253.190056562424,506,20352.310601472855,577,14845.339476108551,571,17713.009202957153,496,17469.568741559982,513,16909.4385638237,471,15791.093240737915,202,11324.805185317993,205,7941.807618141174,195,7861.74777507782,181,8363.596487998962,202,5703.065712928772,129,6124.298490524292,121,9213.176043510437,213,7656.732106208801,175,4089.185405731201,83,4478.014183044434,86
